go_id	annotation_ontology	evidence	entrez_id	gene	ontology	term_name	selection_role	matched_query_ids	matched_query_strings	source_seed_ids	in_core_branch	in_downstream_branch	is_anchor	present_in_deposited_matrix	retained_filterByExpr
GO:0032651	BP	IEA	384	ARG2	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IEA	114769	CARD16	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IEA	440068	CARD17P	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	FALSE	FALSE
GO:0032651	BP	IEA	59082	CARD18	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IEA	1236	CCR7	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	ISS	1236	CCR7	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	ISS	2149	F2R	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IDA	27086	FOXP1	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IMP	4210	MEFV	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IDA	494323	MIR361	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	FALSE	FALSE
GO:0032651	BP	IEA	55655	NLRP2	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032651	BP	IEA	152138	PYDC2	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	FALSE	FALSE
GO:0032651	BP	ISS	140885	SIRPA	BP	regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032661	BP	NAS	91662	NLRP12	BP	regulation of interleukin-18 production	seed	interleukin_18_production	interleukin-18 production	GO:0032621; GO:0032661	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032691	BP	IDA	335	APOA1	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032691	BP	IEA	409	ARRB2	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032691	BP	IDA	114769	CARD16	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	FALSE	TRUE	FALSE	TRUE	TRUE
GO:0032691	BP	IDA	440068	CARD17P	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	FALSE	TRUE	FALSE	FALSE	FALSE
GO:0032691	BP	IDA	59082	CARD18	BP	negative regulation of interleukin-1 beta production	seed	interleukin_1_beta_production	interleukin-1 beta production	GO:0032611; GO:0032651; GO:0032691	FALSE	TRUE	FALSE	TRUE	TRUE
