set	sample_id	inferred_sex
PRIMARY	H-16680	Female
PRIMARY	H-16681	Female
PRIMARY	H-16682	Female
PRIMARY	H-16730	Male
PRIMARY	H-16737	Female
PRIMARY	H-16849	Female
PRIMARY	H-17255	Female
PRIMARY	H-17257	Female
PRIMARY	H-17259	Female
PRIMARY	H-17392	Female
PRIMARY	H-17394	Female
PRIMARY	H-17410	Male
PRIMARY	H-17417	Female
PRIMARY	H-17606	Female
PRIMARY	H-17612	Female
PRIMARY	H-18496	Male
PRIMARY	H-19124	Male
PRIMARY	H-19125	Male
PRIMARY	H-19283	Male
PRIMARY	H-19600	Male
PRIMARY	H-19760	Female
PRIMARY	H-19764	Female
PRIMARY	H-19856	Female
PRIMARY	H-19931	Male
PRIMARY	H-20336	Female
PRIMARY	H-20381	Female
PRIMARY	H-20385	Male
PRIMARY	H-20442	Male
PRIMARY	H-20748	Female
PRIMARY	H-20815	Female
PRIMARY	H-20818	Female
PRIMARY	H-20819	Female
PRIMARY	H-20820	Male
PRIMARY	H-21027	Male
SENSITIVITY	H-16680	Female
SENSITIVITY	H-16681	Female
SENSITIVITY	H-16730	Male
SENSITIVITY	H-16737	Female
SENSITIVITY	H-17255	Female
SENSITIVITY	H-17257	Female
SENSITIVITY	H-17259	Female
SENSITIVITY	H-17392	Female
SENSITIVITY	H-17394	Female
SENSITIVITY	H-17410	Male
SENSITIVITY	H-17612	Female
SENSITIVITY	H-18496	Male
SENSITIVITY	H-19124	Male
SENSITIVITY	H-19125	Male
SENSITIVITY	H-19283	Male
SENSITIVITY	H-19600	Male
SENSITIVITY	H-19760	Female
SENSITIVITY	H-19764	Female
SENSITIVITY	H-19856	Female
SENSITIVITY	H-19931	Male
SENSITIVITY	H-20336	Female
SENSITIVITY	H-20381	Female
SENSITIVITY	H-20385	Male
SENSITIVITY	H-20442	Male
SENSITIVITY	H-20748	Female
SENSITIVITY	H-20815	Female
SENSITIVITY	H-20818	Female
SENSITIVITY	H-20819	Female
SENSITIVITY	H-20820	Male
SENSITIVITY	H-21027	Male
