gene	present_in_deposited_matrix	retained_filterByExpr	removal_reason
A2M	TRUE	TRUE	retained
A2ML1	TRUE	TRUE	retained
A4GALT	TRUE	TRUE	retained
AAAS	TRUE	TRUE	retained
AACS	TRUE	TRUE	retained
AADAT	TRUE	TRUE	retained
AAGAB	TRUE	TRUE	retained
AAK1	TRUE	TRUE	retained
AAMDC	TRUE	TRUE	retained
AAMP	TRUE	TRUE	retained
AAR2	TRUE	TRUE	retained
AARS1	TRUE	TRUE	retained
AARS2	TRUE	TRUE	retained
AARSD1	TRUE	TRUE	retained
AASDH	TRUE	TRUE	retained
AASDHPPT	TRUE	TRUE	retained
AASS	TRUE	TRUE	retained
AATF	TRUE	TRUE	retained
AATK	TRUE	TRUE	retained
ABAT	TRUE	TRUE	retained
ABCA1	TRUE	TRUE	retained
ABCA12	TRUE	TRUE	retained
ABCA2	TRUE	TRUE	retained
ABCA3	TRUE	TRUE	retained
ABCA4	TRUE	TRUE	retained
ABCA5	TRUE	TRUE	retained
ABCA6	TRUE	TRUE	retained
ABCA7	TRUE	TRUE	retained
ABCA8	TRUE	TRUE	retained
ABCA9	TRUE	TRUE	retained
ABCB1	TRUE	TRUE	retained
ABCB10	TRUE	TRUE	retained
ABCB10P1	TRUE	TRUE	retained
ABCB10P3	TRUE	TRUE	retained
ABCB10P4	TRUE	TRUE	retained
ABCB4	TRUE	TRUE	retained
ABCB6	TRUE	TRUE	retained
ABCB7	TRUE	TRUE	retained
ABCB8	TRUE	TRUE	retained
ABCB9	TRUE	TRUE	retained
ABCC1	TRUE	TRUE	retained
ABCC10	TRUE	TRUE	retained
ABCC11	TRUE	TRUE	retained
ABCC2	TRUE	TRUE	retained
ABCC3	TRUE	TRUE	retained
ABCC4	TRUE	TRUE	retained
ABCC5	TRUE	TRUE	retained
ABCC6	TRUE	TRUE	retained
ABCC6P1	TRUE	TRUE	retained
ABCC8	TRUE	TRUE	retained
ABCC9	TRUE	TRUE	retained
ABCD1	TRUE	TRUE	retained
ABCD3	TRUE	TRUE	retained
ABCD4	TRUE	TRUE	retained
ABCE1	TRUE	TRUE	retained
ABCF1	TRUE	TRUE	retained
ABCF2P1	TRUE	TRUE	retained
ABCF3	TRUE	TRUE	retained
ABCG1	TRUE	TRUE	retained
ABCG2	TRUE	TRUE	retained
ABHD1	TRUE	TRUE	retained
ABHD10	TRUE	TRUE	retained
ABHD11	TRUE	TRUE	retained
ABHD12	TRUE	TRUE	retained
ABHD12B	TRUE	TRUE	retained
ABHD13	TRUE	TRUE	retained
ABHD14A	TRUE	TRUE	retained
ABHD14B	TRUE	TRUE	retained
ABHD15	TRUE	TRUE	retained
ABHD16A	TRUE	TRUE	retained
ABHD17A	TRUE	TRUE	retained
ABHD17AP1	TRUE	TRUE	retained
ABHD17AP3	TRUE	TRUE	retained
ABHD17AP4	TRUE	TRUE	retained
ABHD17AP5	TRUE	TRUE	retained
ABHD17AP6	TRUE	TRUE	retained
ABHD17B	TRUE	TRUE	retained
ABHD17C	TRUE	TRUE	retained
ABHD18	TRUE	TRUE	retained
ABHD2	TRUE	TRUE	retained
ABHD3	TRUE	TRUE	retained
ABHD4	TRUE	TRUE	retained
ABHD5	TRUE	TRUE	retained
ABHD6	TRUE	TRUE	retained
ABHD8	TRUE	TRUE	retained
ABI1	TRUE	TRUE	retained
ABI2	TRUE	TRUE	retained
ABI3	TRUE	TRUE	retained
ABI3BP	TRUE	TRUE	retained
ABITRAM	TRUE	TRUE	retained
ABL1	TRUE	TRUE	retained
ABL2	TRUE	TRUE	retained
ABLIM1	TRUE	TRUE	retained
ABLIM3	TRUE	TRUE	retained
ABO	TRUE	TRUE	retained
ABR	TRUE	TRUE	retained
ABRACL	TRUE	TRUE	retained
ABRAXAS1	TRUE	TRUE	retained
ABRAXAS2	TRUE	TRUE	retained
ABT1	TRUE	TRUE	retained
ABTB1	TRUE	TRUE	retained
ABTB2	TRUE	TRUE	retained
ACAA1	TRUE	TRUE	retained
ACAA2	TRUE	TRUE	retained
ACACA	TRUE	TRUE	retained
ACACB	TRUE	TRUE	retained
ACAD10	TRUE	TRUE	retained
ACAD11	TRUE	TRUE	retained
ACAD8	TRUE	TRUE	retained
ACAD9	TRUE	TRUE	retained
ACADL	TRUE	TRUE	retained
ACADM	TRUE	TRUE	retained
ACADS	TRUE	TRUE	retained
ACADSB	TRUE	TRUE	retained
ACADVL	TRUE	TRUE	retained
ACAN	TRUE	TRUE	retained
ACAP1	TRUE	TRUE	retained
ACAP2	TRUE	TRUE	retained
ACAP3	TRUE	TRUE	retained
ACAT1	TRUE	TRUE	retained
ACAT2	TRUE	TRUE	retained
ACBD3	TRUE	TRUE	retained
ACBD4	TRUE	TRUE	retained
ACBD5	TRUE	TRUE	retained
ACBD6	TRUE	TRUE	retained
ACCS	TRUE	TRUE	retained
ACD	TRUE	TRUE	retained
ACE	TRUE	TRUE	retained
ACER2	TRUE	TRUE	retained
ACER2P1	TRUE	TRUE	retained
ACER3	TRUE	TRUE	retained
ACHE	TRUE	TRUE	retained
ACIN1	TRUE	TRUE	retained
ACKR1	TRUE	TRUE	retained
ACKR2	TRUE	TRUE	retained
ACKR3	TRUE	TRUE	retained
ACKR4	TRUE	TRUE	retained
ACLY	TRUE	TRUE	retained
ACMSD	TRUE	TRUE	retained
ACO1	TRUE	TRUE	retained
ACO2	TRUE	TRUE	retained
ACOT1	TRUE	TRUE	retained
ACOT11	TRUE	TRUE	retained
ACOT12	TRUE	TRUE	retained
ACOT13	TRUE	TRUE	retained
ACOT2	TRUE	TRUE	retained
ACOT4	TRUE	TRUE	retained
ACOT7	TRUE	TRUE	retained
ACOT8	TRUE	TRUE	retained
ACOT9	TRUE	TRUE	retained
ACOX1	TRUE	TRUE	retained
ACOX2	TRUE	TRUE	retained
ACOX3	TRUE	TRUE	retained
ACOXL	TRUE	TRUE	retained
ACP1	TRUE	TRUE	retained
ACP2	TRUE	TRUE	retained
ACP3	TRUE	TRUE	retained
ACP4	TRUE	TRUE	retained
