sample_column	x_role	y_role	x_library_sum_retained_genes	y_sum_retained_genes	y_over_x_scale	y_over_x_scale_sd
X16680_placenta_S66	integer_raw_counts_selected	per_sample_scaled_values_rejected	27497777	994936.70153267	0.0361824412763501	5.01523975551692e-17
X16681_placenta_S68	integer_raw_counts_selected	per_sample_scaled_values_rejected	35660347	996388.671064873	0.027941081758539	3.83764887362022e-17
X16682_placenta_S64	integer_raw_counts_selected	per_sample_scaled_values_rejected	54925606	994536.960560187	0.0181069820251084	2.42397792000608e-17
X16730_placenta_S32	integer_raw_counts_selected	per_sample_scaled_values_rejected	34567401	995648.828619075	0.0288031150684159	3.90812173281694e-17
X16737_placenta_S26	integer_raw_counts_selected	per_sample_scaled_values_rejected	41969126	995974.087807445	0.0237311133857647	3.17835751591744e-17
X16849_placenta_S56	integer_raw_counts_selected	per_sample_scaled_values_rejected	24656108	995516.923006979	0.040376077319542	5.42995543075032e-17
X17255_placenta_S24	integer_raw_counts_selected	per_sample_scaled_values_rejected	50084555	993589.056881689	0.0198382327023109	2.66446446346502e-17
X17257_placenta_S20	integer_raw_counts_selected	per_sample_scaled_values_rejected	9781210	981757.429518938	0.100371777062239	1.35070847097696e-16
X17259_placenta_S22	integer_raw_counts_selected	per_sample_scaled_values_rejected	37197674	996101.4649552	0.0267785954830186	3.55149036376847e-17
X17392_placenta_S72	integer_raw_counts_selected	per_sample_scaled_values_rejected	35085527	995292.847578714	0.028367618578986	3.81172928684259e-17
X17394_placenta_S70	integer_raw_counts_selected	per_sample_scaled_values_rejected	21986818	992387.883659239	0.0451355845879672	6.0319776787539e-17
X17410_placenta_S62	integer_raw_counts_selected	per_sample_scaled_values_rejected	27653470	995708.476866293	0.0360066377516562	4.85023562471151e-17
X17417_placenta_S28	integer_raw_counts_selected	per_sample_scaled_values_rejected	41417368	996334.784950492	0.0240559657231356	3.25944600791199e-17
X17606_placenta_S60	integer_raw_counts_selected	per_sample_scaled_values_rejected	39164087	995146.979507956	0.0254096815663788	3.39767269839327e-17
X17612_placenta_S58	integer_raw_counts_selected	per_sample_scaled_values_rejected	27798269	995868.072365856	0.0358248232062887	4.78033438947603e-17
X18496_placenta_S18	integer_raw_counts_selected	per_sample_scaled_values_rejected	43536682	994501.113576639	0.0228428320186789	3.02622784666081e-17
X19124_placenta_S48	integer_raw_counts_selected	per_sample_scaled_values_rejected	21541776	994449.132373118	0.0461637486330337	6.27666089609331e-17
X19125_placenta_S43	integer_raw_counts_selected	per_sample_scaled_values_rejected	30549556	995312.385205501	0.032580256983293	4.41978309743688e-17
X19283_placenta_S34	integer_raw_counts_selected	per_sample_scaled_values_rejected	23544986	994905.001622188	0.0422554934465533	5.69019675426532e-17
X19600_placenta_S76	integer_raw_counts_selected	per_sample_scaled_values_rejected	36149491	989091.683660222	0.0273611510507913	3.64065824548953e-17
X19760_placenta_S36	integer_raw_counts_selected	per_sample_scaled_values_rejected	32659975	995703.047222549	0.0304869506857415	4.1246486131646e-17
X19764_placenta_S40	integer_raw_counts_selected	per_sample_scaled_values_rejected	39081794	995935.429548664	0.0254833600921356	3.42720114645822e-17
X19856_placenta_S6	integer_raw_counts_selected	per_sample_scaled_values_rejected	17939472	994229.695655338	0.0554213466068197	7.69001775462501e-17
X19931_placenta_S78	integer_raw_counts_selected	per_sample_scaled_values_rejected	33442555	995742.306096383	0.0297747078862959	3.99183531755063e-17
X20336_placenta_S4	integer_raw_counts_selected	per_sample_scaled_values_rejected	34884939	996119.254229324	0.0285544215579487	3.8176580165695e-17
X20381_placenta_S52	integer_raw_counts_selected	per_sample_scaled_values_rejected	16894777	995533.093942618	0.0589254947811752	7.84059881009115e-17
X20385_placenta_S74	integer_raw_counts_selected	per_sample_scaled_values_rejected	18649370	990758.066557178	0.0531255515096316	7.08750139906952e-17
X20442_placenta_S50	integer_raw_counts_selected	per_sample_scaled_values_rejected	37897641	995869.695241488	0.0262778808644445	3.52433707200715e-17
X20748_placenta_S46	integer_raw_counts_selected	per_sample_scaled_values_rejected	41596372	996326.635278682	0.0239522484143252	3.21036145297699e-17
X20815_placenta_S10	integer_raw_counts_selected	per_sample_scaled_values_rejected	56903464	988419.520295186	0.0173701116033145	2.29289459807504e-17
X20818_placenta_S8	integer_raw_counts_selected	per_sample_scaled_values_rejected	19019259	996389.858221087	0.052388468878892	7.00244846016368e-17
X20819_placenta_S12	integer_raw_counts_selected	per_sample_scaled_values_rejected	26265622	995660.441014249	0.0379073619887718	5.06130014822971e-17
X20820_placenta_S14	integer_raw_counts_selected	per_sample_scaled_values_rejected	18700963	995593.739666921	0.0532375653417913	7.19754550645e-17
X21027_placenta_S44	integer_raw_counts_selected	per_sample_scaled_values_rejected	25339330	995269.321343491	0.0392776494620612	5.23486443021839e-17
