sample_id	inferred_sex	raw_library_size	filtered_library_size	tmm_norm_factor	effective_library_size	robust_z_log2_raw_library	robust_z_log2_norm_factor	library_size_outlier_3mad	norm_factor_outlier_3mad	author_note
H-16680	Female	27497777	27497777	0.933628608875572	25672711.2876807	-0.53954503021874	-1.40994658524978	FALSE	FALSE	
H-16681	Female	35660347	35660347	0.951813882421074	33942013.3265527	0.223140918240696	-1.03706526108696	FALSE	FALSE	
H-16682	Female	54925606	54925606	1.06000458382081	58221394.1291359	1.49051870612189	1.0439293336549	FALSE	FALSE	sry male, seq female
H-16730	Male	34567401	34567401	1.051048984515	36332031.7183727	0.131805886875692	0.879927530807529	FALSE	FALSE	
H-16737	Female	41969126	41969126	1.00072658702566	41999620.2224301	0.701099067035114	-0.0684236513965293	FALSE	FALSE	
H-16849	Female	24656108	24656108	0.976469430055231	24075935.7261402	-0.859603630924563	-0.542733976773615	FALSE	FALSE	sry male, seq female
H-17255	Female	50084555	50084555	1.09334902144954	54759899.1989858	1.21979353517203	1.6426074418556	FALSE	FALSE	
H-17257	Female	9781210	9781210	1.1614150513781	11360044.51469	-3.57240592385278	2.809986521862	TRUE	FALSE	
H-17259	Female	37197674	37197674	1.04788107659575	38978738.6779776	0.346982275312647	0.821579590713467	FALSE	FALSE	
H-17392	Female	35085527	35085527	0.990508319381178	34752506.3833729	0.17545911573442	-0.266808822262682	FALSE	FALSE	
H-17394	Female	21986818	21986818	1.0062726080382	22124732.6913213	-1.19580317051383	0.0384045790168496	FALSE	FALSE	
H-17410	Male	27653470	27653470	1.02258121537085	28277918.9618212	-0.522978664013784	0.349165277796652	FALSE	FALSE	
H-17417	Female	41417368	41417368	0.99472660656225	41198957.9233799	0.662268689232326	-0.184664886689766	FALSE	FALSE	sry male, seq female
H-17606	Female	39164087	39164087	1.04392403896827	40884331.8835448	0.498131937152205	0.748448829508928	FALSE	FALSE	sry male, seq female
H-17612	Female	27798269	27798269	1.04050703707605	28924294.5130329	-0.50765496078756	0.68507518466176	FALSE	FALSE	
H-18496	Male	43536682	43536682	1.00649201747536	43819322.9003634	0.808693168638949	0.0426187575516271	FALSE	FALSE	
H-19124	Male	21541776	21541776	0.847024854507522	18246419.6822336	-1.25580352907967	-3.29164800946462	FALSE	TRUE	lot of brain samples high
H-19125	Male	30549556	30549556	0.993328746259712	30345752.1602709	-0.230740419589202	-0.211847173321468	FALSE	FALSE	
H-19283	Male	23544986	23544986	0.991565971826848	23346406.9247395	-0.994902494275626	-0.246180034515435	FALSE	FALSE	
H-19600	Male	36149491	36149491	1.03936814155458	37572629.278814	0.263114388606233	0.66390633429143	FALSE	FALSE	
H-19760	Female	32659975	32659975	1.00228194142691	32734503.1499544	-0.0347386799572546	-0.0384045790168496	FALSE	FALSE	Something weird with placenta - outlier and was very small input maybe? Will double check. 
H-19764	Female	39081794	39081794	0.984428313224977	38473224.545226	0.491960107603658	-0.385824135013187	FALSE	FALSE	
H-19856	Female	17939472	17939472	0.967785344430049	17361558.0884132	-1.79272573238868	-0.715406974031555	FALSE	FALSE	
H-19931	Male	33442555	33442555	0.977514028085283	32690566.6475136	0.0347386799572546	-0.522066903571752	FALSE	FALSE	
H-20336	Female	34884939	34884939	1.03933909447973	36257280.9112405	0.158636104894472	0.663366127931757	FALSE	FALSE	
H-20381	Female	16894777	16894777	1.08357136029524	18306696.4957747	-1.96877153451664	1.46896896233154	FALSE	FALSE	
H-20385	Male	18649370	18649370	0.787034686695668	14677701.0750216	-1.67885446743387	-4.71154894041046	FALSE	TRUE	
H-20442	Male	37897641	37897641	0.979820100944612	37132870.4301827	0.401682568408827	-0.476519998340343	FALSE	FALSE	
H-20748	Female	41596372	41596372	1.02972821747771	42832957.9930999	0.674922629544376	0.483792672400367	FALSE	FALSE	
H-20815	Female	56903464	56903464	0.875126188221869	49797711.5469403	1.59431886978775	-2.66077076895574	FALSE	FALSE	
H-20818	Female	19019259	19019259	1.03429964742217	19671612.877931	-1.62122854173828	0.569415159636529	FALSE	FALSE	
H-20819	Female	26265622	26265622	1.05357221013192	27672729.4210297	-0.674058889408815	0.926275741253596	FALSE	FALSE	
H-20820	Male	18700963	18700963	1.0677338345517	19967650.9337994	-1.67074842387881	1.18436314653023	FALSE	FALSE	
H-21027	Male	25339330	25339330	0.950895914085586	24095065.3626663	-0.779404279677123	-1.05571641890672	FALSE	FALSE	
