gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
DDX3Y	Y	TRUE	949.834325271982	5.18588778139622	0.414385051949752	12.5146593898495	6.2073576043177e-36	TRUE	TRUE	Male higher
PRKY	Y	TRUE	254.978949939274	3.33622508365385	0.377120784849056	8.84656910381959	9.02510526941662e-19	TRUE	TRUE	Male higher
DDX3P1	X	TRUE	351.453592758805	1.22643488957334	0.163370348796421	7.50708374321724	6.04590543404919e-14	TRUE	TRUE	Male higher
KDM5C	X	TRUE	10027.548232999	-0.590986779762481	0.0938831134341691	-6.29492097294879	3.07556507708137e-10	TRUE	FALSE	Female higher
KDM6A	X	TRUE	3059.33280519108	-0.50665323577908	0.0985955585475983	-5.13870242475969	2.76642080211248e-07	TRUE	FALSE	Female higher
KLF1	19	FALSE	149.257055513035	2.2816692002471	0.465512473947724	4.90141366330676	9.51494645007804e-07	TRUE	TRUE	Male higher
TFR2	7	FALSE	582.266100669244	2.38296027919421	0.4928304663475	4.8352535849802	1.32976007237787e-06	TRUE	TRUE	Male higher
HBM	16	FALSE	280.752505084389	2.50759821841981	0.528034403845371	4.74892961549174	2.0449609143982e-06	TRUE	TRUE	Male higher
PCDH11Y	Y	TRUE	1257.4051866755	1.2800414673453	0.280062972985308	4.57054873659592	4.86448771564081e-06	TRUE	TRUE	Male higher
TMC3	15	FALSE	138.489500870165	-0.595831695077322	0.131603951071321	-4.52746053767353	5.96967446212628e-06	TRUE	FALSE	Female higher
NLGN4Y	Y	TRUE	320.186412481843	1.90119044670696	0.428860254298669	4.43312344207801	9.28776530481731e-06	TRUE	TRUE	Male higher
GGTLC5P	22	FALSE	154.197383462478	-2.11215690799389	0.4778171941882	-4.42042884535034	9.85052179077456e-06	TRUE	TRUE	Female higher
HBZ	16	FALSE	459.682370657503	2.56597734543756	0.583202847645138	4.39980249719028	1.08349445138422e-05	TRUE	TRUE	Male higher
VAMP7	X	TRUE	666.937125507689	0.602530862602796	0.13899418882755	4.33493563785142	1.45802775556278e-05	TRUE	TRUE	Male higher
GGT3P	22	FALSE	207.576621270324	-2.1169492051103	0.490538570518563	-4.31556116550104	1.591979620961e-05	TRUE	TRUE	Female higher
HMCN2	9	FALSE	443.737238107992	-1.36876830323134	0.320644441564654	-4.26880408889092	1.96523777638376e-05	TRUE	TRUE	Female higher
