paper_heatmap_order	gene	chromosome	sex_chromosome	base_mean	log2_fold_change_male_minus_female	standard_error	wald_statistic	nominal_p	nominal_p_lt_0_05	paper_deg_rule	direction
1	KRT5	12	FALSE	195.69192675771	-0.71943261023367	0.318708672014798	-2.25733616122082	0.0239870774301773	TRUE	TRUE	Female higher
2	GABRP	5	FALSE	198.881538573752	-2.07285751164954	0.566782848624926	-3.65723401242381	0.000254951602385735	TRUE	TRUE	Female higher
3	MUC16	19	FALSE	4780.38708078747	-1.14103181010471	0.406223705454224	-2.80887549097818	0.00497148695658658	TRUE	TRUE	Female higher
4	GRID1	10	FALSE	327.413074589751	-0.815417174699024	0.234889631968935	-3.47149070763101	0.000517577244527877	TRUE	TRUE	Female higher
5	CACNB4	2	FALSE	109.023650957459	-0.472159894693437	0.168387938852226	-2.80400067790957	0.00504727989538742	TRUE	FALSE	Female higher
6	ENOX1	13	FALSE	434.572459050117	-0.352614771136306	0.195266931369182	-1.80580894401231	0.0709481879208096	FALSE	FALSE	Female higher
7	TMC3	15	FALSE	138.489500870165	-0.595831695077322	0.131603951071321	-4.52746053767353	5.96967446212628e-06	TRUE	FALSE	Female higher
8	CPZ	4	FALSE	354.627597089239	-0.528279422016439	0.171431932644335	-3.0815695411452	0.00205912372477044	TRUE	FALSE	Female higher
9	FCN1	9	FALSE	138.103396452222	0.179270172467448	0.341390614237586	0.525117460735719	0.599501538683331	FALSE	FALSE	Male higher
10	LYZ	12	FALSE	445.354569171632	0.260962582977457	0.357075987921767	0.730832068816211	0.464881733020923	FALSE	FALSE	Male higher
11	RN7SL4P	3	FALSE	1520.9973197385	0.691745060150105	0.295550876968075	2.34052785512399	0.0192565018940794	TRUE	TRUE	Male higher
12	FTH1	11	FALSE	1417.29435745437	0.431324142969174	0.216635800461728	1.991010451873	0.0464797381944214	TRUE	FALSE	Male higher
13	FTH1P8	X	TRUE	2346.80916118675	0.494635574381885	0.216472199963899	2.28498428188181	0.0223137494266472	TRUE	FALSE	Male higher
14	HBZ	16	FALSE	459.682370657503	2.56597734543756	0.583202847645138	4.39980249719028	1.08349445138422e-05	TRUE	TRUE	Male higher
15	SLC4A1	17	FALSE	2415.98536005541	1.59797876727912	0.42939159445206	3.72149522236987	0.000198046613513871	TRUE	TRUE	Male higher
16	EPB42	15	FALSE	492.162340840975	1.53855155961256	0.425059119864011	3.61961780776469	0.000295038465591289	TRUE	TRUE	Male higher
17	NFE2	12	FALSE	162.976655782304	1.51124869349418	0.370107672162351	4.08326767360622	4.44068229024473e-05	TRUE	TRUE	Male higher
18	MYL4	17	FALSE	170.139359618791	1.21538388056676	0.337662989775898	3.5993991564589	0.000318953290745739	TRUE	TRUE	Male higher
19	KLF1	19	FALSE	149.257055513035	2.2816692002471	0.465512473947724	4.90141366330676	9.51494645007804e-07	TRUE	TRUE	Male higher
20	HBM	16	FALSE	280.752505084389	2.50759821841981	0.528034403845371	4.74892961549174	2.0449609143982e-06	TRUE	TRUE	Male higher
21	AHSP	16	FALSE	617.410769448475	1.6033736659657	0.584868006804631	2.7414282322016	0.00611727227854361	TRUE	TRUE	Male higher
22	C17orf99	17	FALSE	99.4679989433476	1.40851452160693	0.383120912728734	3.6764229641628	0.000236527237592552	TRUE	TRUE	Male higher
23	SPTA1	1	FALSE	1698.99823349666	1.55872760940442	0.41819161214205	3.72730481470048	0.0001935383381416	TRUE	TRUE	Male higher
24	ANK1	8	FALSE	1563.01416000441	1.21548483977022	0.320845880750284	3.78837601694578	0.000151635232296718	TRUE	TRUE	Male higher
25	GATA1	X	TRUE	111.715527203975	1.41318012507379	0.376481583396977	3.75365007850512	0.000174278108332687	TRUE	TRUE	Male higher
26	TFR2	7	FALSE	582.266100669244	2.38296027919421	0.4928304663475	4.8352535849802	1.32976007237787e-06	TRUE	TRUE	Male higher
27	MT1G	16	FALSE	851.649737413817	2.34229103902397	0.596702105076849	3.92539429490082	8.6587787688209e-05	TRUE	TRUE	Male higher
28	HMGCS2	1	FALSE	219.62197079929	1.48795347248038	0.482916090042574	3.0811842950795	0.00206178991108828	TRUE	TRUE	Male higher
29	APOM	6	FALSE	271.143068130988	1.63726378031525	0.476324439525823	3.43728695077064	0.000587572758944793	TRUE	TRUE	Male higher
30	LIPC	15	FALSE	245.641094204049	1.66544379981018	0.510375741922995	3.26317193982441	0.00110172656025037	TRUE	TRUE	Male higher
31	HAL	12	FALSE	440.693742674533	1.55127334677694	0.578312121920202	2.68241540852742	0.00730926345458954	TRUE	TRUE	Male higher
32	F2	11	FALSE	690.812683733851	2.09592589252711	0.620581135276099	3.37735998306592	0.000731852021118661	TRUE	TRUE	Male higher
33	PLG	6	FALSE	660.961186092764	2.08293638723189	0.623915565599937	3.3384908184315	0.000842348140810205	TRUE	TRUE	Male higher
34	AKR1C2	10	FALSE	199.679434537441	0.799078349906947	0.3396618613865	2.35257013149816	0.01864417360718	TRUE	TRUE	Male higher
35	CPS1	2	FALSE	2995.49420777257	1.12033886243	0.329049063938695	3.40477753991947	0.00066217973329056	TRUE	TRUE	Male higher
36	PIEZO2	18	FALSE	179.142443154176	-0.0894744266050785	0.38382067094347	-0.23311518471671	0.815671963998338	FALSE	FALSE	Female higher
37	RHCE	1	FALSE	318.721330151115	0.596981541293187	0.363085933693629	1.64418801692527	0.100137371407965	FALSE	FALSE	Male higher
38	SLC38A5	X	TRUE	262.492995925548	1.13653500610598	0.473657144963901	2.39948878252982	0.0164179828505721	TRUE	TRUE	Male higher
39	DDX3P1	X	TRUE	351.453592758805	1.22643488957334	0.163370348796421	7.50708374321724	6.04590543404919e-14	TRUE	TRUE	Male higher
40	PCDH11Y	Y	TRUE	1257.4051866755	1.2800414673453	0.280062972985308	4.57054873659592	4.86448771564081e-06	TRUE	TRUE	Male higher
41	NLGN4Y	Y	TRUE	320.186412481843	1.90119044670696	0.428860254298669	4.43312344207801	9.28776530481731e-06	TRUE	TRUE	Male higher
42	DDX3Y	Y	TRUE	949.834325271982	5.18588778139622	0.414385051949752	12.5146593898495	6.2073576043177e-36	TRUE	TRUE	Male higher
43	PRKY	Y	TRUE	254.978949939274	3.33622508365385	0.377120784849056	8.84656910381959	9.02510526941662e-19	TRUE	TRUE	Male higher
44	IGFBP1	7	FALSE	2363.78625859989	0.311715570257483	0.773122573444317	0.403190362000126	0.686808189363127	FALSE	FALSE	Male higher
45	RBP1	3	FALSE	1384.35195410903	0.538612891380381	0.289581999215254	1.85996675497781	0.0628902296388318	FALSE	FALSE	Male higher
46	CFH	1	FALSE	405.9863043225	1.20216456557682	0.432900161729131	2.77700188601229	0.00548628606268072	TRUE	TRUE	Male higher
47	APOC1	19	FALSE	695.483173933133	1.20922520908288	0.297464875340782	4.06510250226204	4.80113566058041e-05	TRUE	TRUE	Male higher
48	HAMP	19	FALSE	87.2675068835245	-0.200670267868004	0.447597287235675	-0.448327712411591	0.653916703360128	FALSE	FALSE	Female higher
49	MT2A	16	FALSE	439.891254689326	0.853219959069215	0.267728921814533	3.18688004749922	0.00143816406209758	TRUE	TRUE	Male higher
50	TXN	9	FALSE	483.262138023863	0.24769013926478	0.183581957100087	1.34920742308975	0.17727035115233	FALSE	FALSE	Male higher
