analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05
PAPER_REPRODUCTION_GENOMEWIDE	GO:0006334	BP	nucleosome assembly	16399	541	92	22	3.03506311360449	7.24861367837338	1.78849081965643e-13	22	0	H1-1; H1-5; H2BC13; H2BC14; H2BC6; H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C6; H3C7; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; SOX9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0034728	BP	nucleosome organization	16399	541	106	23	3.49692054393561	6.57721549890141	4.61896080462727e-13	23	0	H1-1; H1-5; H2BC13; H2BC14; H2BC6; H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C6; H3C7; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; NFE2; SOX9	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0032501	BP	multicellular organismal process	16399	541	4450	221	146.804683212391	1.50540156597229	1.60924686483e-12	83	138	ABCC3; ABCC6; ABCC8; ACHE; ADD2; ADGRB1; ADGRE2; AGT; AHSG; AHSP; AKR1C1; AKR1C2; AKR1C3; ALPK2; AMBP; AMN; ANGPTL3; ANKRD24; ANO1; ANO9; ANOS1; APOA1; APOA2; APOB; APOC1; APOM; AR; ARG1; ATOH8; ATP1A2; ATP2B3; AVIL; BMP1; C17orf99; CACNA1C; CACNA1D; CACNA1G; CACNA1H; CFH; CHRNE; CLCF1; CLDN1; CLDN3; CLNK; CNTN2; COL11A1; COL27A1; COL28A1; COL2A1; COL7A1; CPNE5; CPS1; CTNNA2; CYP1B1; CYP26B1; DNAH11; DNAH5; DSCAML1; DTNA; DTX1; EPB42; EPHB6; EXTL1; F2; F7; F8; FAM107A; FGA; FGB; FGG; FHOD3; FLT4; FOXO1; FPR2; G0S2; GATA1; GDPD5; GPRIN3; GRID1; GRIK2; H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; HAP1; HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ; HLA-DRA; HMCN2; HMGCS2; HOMER2; HPN; IGFBP5; IMPG2; IRX3; ITGAX; ITGB3; KALRN; KCND2; KCND3; KEL; KIAA0319; KIRREL3; KLF1; KNG1; KRT5; LDB3; LGALS9C; LHB; LIF; LIPC; LZTS3; MAPK8IP2; MAST1; MFSD2A; MINAR1; MLXIPL; MT1G; MTNR1B; MUC4; MUC6; MYB; MYBPC3; MYH14; MYL4; MYO1A; MYO7B; MYT1L; NAV3; NEFL; NEK10; NLGN2; NLGN4Y; NOS3; NPAS2; NPHP1; NR1D1; NRXN2; OR2A1; OR2A42; OSR2; PAX8; PBX4; PCDH17; PF4; PIK3R6; PKD1L1; PLA2G4C; PLEKHG5; PLG; PLXDC1; POU5F1; PRDM8; PRDX2; PRKCE; PROC; PSG7; PTGER3; PTPRR; RAPGEF3; RASAL3; RBP4; RELN; RHOJ; RIMS2; RP1; RPL37; SALL1; SCNN1A; SCUBE1; SEPTIN5; SERPINA1; SERPINC1; SERPIND1; SERPINF2; SLC1A1; SLC26A7; SLC38A3; SLC38A5; SLC39A5; SLC44A4; SLC4A4; SLC4A8; SLC6A6; SLC6A9; SLCO3A1; SMIM1; SOX9; SPOCK2; SRCIN1; SRGAP3; STX1A; STX1B; TBX1; TCHH; TF; TFR2; TLE6; TLR8; TNFAIP2; TRAF3IP3; UCK2; ULK4; USH2A; VAMP7; VIL1; VTN; XAF1; ZBTB16; ZBTB20; ZEB1; ZNF516	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0003008	BP	system process	16399	541	1126	81	37.1465333252028	2.18055341237036	1.83433529674092e-11	27	54	ABCC3; ABCC6; ABCC8; AGT; AKR1C1; AKR1C3; AMN; ANKRD24; ANO1; ANO9; ATP1A2; ATP2B3; CACNA1C; CACNA1D; CACNA1G; CACNA1H; CHRNE; COL11A1; COL2A1; CPS1; CTNNA2; DTNA; FAM107A; FGA; FGB; FGG; FOXO1; GRIK2; HBB; HLA-DRA; HOMER2; HPN; IGFBP5; IMPG2; IRX3; ITGAX; KCND2; KCND3; KEL; KNG1; MAPK8IP2; MFSD2A; MTNR1B; MUC4; MUC6; MYBPC3; MYH14; MYL4; MYO1A; MYO7B; NEK10; NLGN2; NLGN4Y; NOS3; NRXN2; OR2A1; OR2A42; PTGER3; RAPGEF3; RBP4; RELN; RIMS2; RP1; RPL37; SCNN1A; SERPINF2; SLC1A1; SLC26A7; SLC38A3; SLC38A5; SLC4A4; SLC4A8; SLC6A6; SLC6A9; SLCO3A1; SOX9; STX1A; STX1B; TBX1; USH2A; VIL1	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0045653	BP	negative regulation of megakaryocyte differentiation	16399	541	17	10	0.560826879687786	17.8308143959987	2.22174978370328e-11	10	0	H4C1; H4C13; H4C14; H4C15; H4C2; H4C3; H4C6; H4C9; MYB; PF4	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0065008	BP	regulation of biological quality	16399	541	2098	122	69.2126349167632	1.76268393981417	1.32840678819826e-10	52	70	ABCC8; ADD2; ADGRB1; ADH1A; ADH4; ADH6; AGT; AHSP; AKR1C1; AKR1C2; AKR1C3; ALB; ANO1; ANO7; ANO9; APOA1; APOA2; ATP10A; ATP1A2; AVIL; BAIAP2L2; CACNA1A; CACNA1C; CACNA1D; CACNA1G; CACNA1H; CHRNE; CLDN3; CPS1; CPT1C; CTNNA2; CYP1B1; CYP26B1; EPB42; F2; F7; F8; FAM107A; FGA; FGB; FGG; FOXO1; FPR1; FPR2; GABRR2; GATA1; GRID1; GRIK2; GRIK3; GRIP2; H1-5; HBB; HPN; ITGB3; KCNA7; KCNC3; KCND2; KCND3; KCNS2; KEL; KIAA0319; KLF1; KNG1; LHB; LIF; LPAR2; LSS; LZTS3; MAPK8IP2; MFSD2A; MLXIPL; MTNR1B; MYB; MYH14; MYL4; MYRIP; NDUFC2; NEFL; NFE2; NLGN2; NOS3; NR1D1; NRXN2; PAX8; PF4; PIP5KL1; PLG; PRDX2; PRKCE; PROC; PRR16; PTGER3; RAPGEF3; RBP4; RELN; RIMS2; SCNN1A; SCUBE1; SERPINA1; SERPINC1; SERPIND1; SERPINF2; SHISA6; SLC1A1; SLC26A7; SLC4A1; SLC4A4; SLC4A8; SPTA1; SPTB; SPTBN5; SRCIN1; SRGAP3; STAR; STX1A; STX1B; SYT12; TF; TFR2; VAMP7; VIL1; VTN	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0015671	BP	oxygen transport	16399	541	8	7	0.263918531617782	26.5233364140481	3.18287983698706e-10	7	0	HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0007267	BP	cell-cell signaling	16399	541	762	59	25.1382401365937	2.34702189490639	8.88725463087027e-10	13	46	ABCC8; ACHE; ADGRB1; AGT; AR; ATP1A2; CACNA1A; CACNA1E; CHRNE; DTNA; FAM107A; FER1L5; FGA; FGB; FGG; FOXO1; GABRP; GABRR2; GRID1; GRIK2; GRIK3; HAP1; HOMER2; KCND2; KCND3; LHB; LIF; MAPK8IP2; MLXIPL; MTNR1B; MYB; MYRIP; NEFL; NLGN2; NR1D1; NRXN2; PAX8; PGR; PLG; POU5F1; RAPGEF3; RBP4; RELN; RIMS2; SEPTIN5; SHISA6; SLC1A1; SLC44A4; SLC4A8; SLC6A2; SLC6A6; SLC6A9; SNCAIP; STX1A; STX1B; SYT12; TFR2; VAMP7; VIPR2	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0015669	BP	gas transport	16399	541	9	7	0.296908348070004	23.5762990347094	1.39148548703651e-09	7	0	HBA1; HBA2; HBB; HBG1; HBG2; HBM; HBZ	TRUE
PAPER_REPRODUCTION_GENOMEWIDE	GO:0030193	BP	regulation of blood coagulation	16399	541	55	14	1.81443990487225	7.71587968408671	1.91938165348331e-09	13	1	F2; F7; FGA; FGB; FGG; KNG1; NOS3; PF4; PLG; PRDX2; PROC; SERPINC1; SERPINF2; VTN	TRUE
