analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05	branch_scope
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0141201	BP	pyroptotic cell death	16399	2697	3	2	0.493383742911153	4.0536398467433	0.0722291020058192	1	1	GSDMD; NINJ1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0072559	BP	NLRP3 inflammasome complex	16399	2697	8	3	1.31568998109641	2.2801724137931	0.13069039248205	0	3	DDX3X; GSDMD; NLRP1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:1900227	BP	positive regulation of NLRP3 inflammasome complex assembly	16399	2697	27	7	4.44045368620038	1.57641549595573	0.142745292212393	0	7	ADCY7; DDX3X; KCNK6; LATS1; PRKD1; USP50; ZDHHC1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0061702	BP	canonical inflammasome complex	16399	2697	10	3	1.64461247637051	1.82413793103448	0.218599159600784	0	3	DDX3X; GSDMD; NLRP1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0032741	BP	positive regulation of interleukin-18 production	16399	2697	6	2	0.986767485822306	2.02681992337165	0.257900777670938	1	1	DHX9; GSDMD	FALSE	Downstream cytokine tier
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0140632	BP	canonical inflammasome complex assembly	16399	2697	2	1	0.328922495274102	3.04022988505747	0.301883373208638	0	1	NLRP1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0070269	BP	pyroptotic inflammatory response	16399	2697	24	5	3.94706994328922	1.26676245210728	0.359284254336665	3	2	CASP3; DHX9; GSDMD; NLRP1; TREM2	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0140639	BP	positive regulation of pyroptotic inflammatory response	16399	2697	9	2	1.48015122873346	1.35121328224777	0.449968444786055	1	1	CASP3; TRAF1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:0072558	BP	NLRP1 inflammasome complex	16399	2697	4	1	0.657844990548204	1.52011494252874	0.512656578445281	0	1	NLRP1	FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_NOMINAL_ONLY	GO:1900226	BP	negative regulation of NLRP3 inflammasome complex assembly	16399	2697	13	2	2.13799621928166	0.935455349248453	0.6558569315203	1	1	FBXL2; TREM2	FALSE	Assembly / activation core
