analysis_scope	go_id	ontology	term_name	universe_genes	selected_deg_genes	measured_term_genes	selected_deg_in_term	expected_selected_in_term	fold_enrichment	fisher_nominal_p	male_higher_genes	female_higher_genes	selected_gene_symbols	nominally_enriched_p_lt_0_05	branch_scope
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0032691	BP	negative regulation of interleukin-1 beta production	16399	541	27	1	0.890725044210013	1.12268090641473	0.596056318683402	1	0	APOA1	FALSE	Downstream cytokine tier
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0032731	BP	positive regulation of interleukin-1 beta production	16399	541	52	1	1.71547045551558	0.582930470638419	0.825733498089162	1	0	TLR8	FALSE	Downstream cytokine tier
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0097169	BP	AIM2 inflammasome complex	16399	541	3	0	0.0989694493566681	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0140970	BP	AIM2 inflammasome complex assembly	16399	541	2	0	0.0659796329044454	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0140634	BP	CARD8 inflammasome complex	16399	541	1	0	0.0329898164522227	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0140633	BP	CARD8 inflammasome complex assembly	16399	541	1	0	0.0329898164522227	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0072557	BP	IPAF inflammasome complex	16399	541	3	0	0.0989694493566681	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0072558	BP	NLRP1 inflammasome complex	16399	541	4	0	0.131959265808891	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:1904784	BP	NLRP1 inflammasome complex assembly	16399	541	1	0	0.0329898164522227	0		0	0		FALSE	Assembly / activation core
PAPER_REPRODUCTION_INFLAMMASOME_P_LFC	GO:0072559	BP	NLRP3 inflammasome complex	16399	541	8	0	0.263918531617782	0		0	0		FALSE	Assembly / activation core
