go_id	ontology	term_name	ES	NES	nominal_p	log2err	pathway_size	direction	nominal_p_lt_0_05	leading_edge_count	leading_edge_genes	in_core_branch	in_downstream_branch	is_anchor
GO:0072559	CC	NLRP3 inflammasome complex	-0.670415895129801	-1.68566306760493	0.0173576881116873	0.352487857583619	8	Female higher	TRUE	6	DDX3X; NLRP1; GSDMD; CARD8; DHX33; NLRP3	TRUE	FALSE	TRUE
GO:1900227	BP	positive regulation of NLRP3 inflammasome complex assembly	-0.442020466403267	-1.55903037247406	0.0231269939696146	0.352487857583619	27	Female higher	TRUE	7	DDX3X; PRKD1; ADCY7; USP50; LATS1; KCNK6; ZDHHC1	TRUE	FALSE	FALSE
GO:0061702	CC	canonical inflammasome complex	-0.606707448463496	-1.62665960331807	0.027563977177478	0.352487857583619	10	Female higher	TRUE	6	DDX3X; NLRP1; GSDMD; CARD8; DHX33; NLRP3	TRUE	FALSE	TRUE
GO:0044546	BP	NLRP3 inflammasome complex assembly	-0.40849767445701	-0.923198342390933	0.548076923076923	0.0723570851036907	6	Female higher	FALSE	3	IRAK4; NLRP3; IRAK2	TRUE	FALSE	FALSE
GO:0032651	BP	regulation of interleukin-1 beta production	0.340817571690055	0.909489085294436	0.554192229038855	0.0749278818393739	9	Male higher	FALSE	9	CARD16; F2R; NLRP2; SIRPA; ARG2; CARD18; FOXP1; CCR7; MEFV	FALSE	TRUE	FALSE
GO:0032741	BP	positive regulation of interleukin-18 production	0.363609736031304	0.84800172531068	0.651452282157676	0.0675188953767744	6	Male higher	FALSE	3	DHX9; TLR2; CASP1	FALSE	TRUE	FALSE
GO:0032691	BP	negative regulation of interleukin-1 beta production	0.218288033333008	0.800962329797886	0.760736196319018	0.0593487680335629	27	Male higher	FALSE	5	RAD21; APOA1; TREM2; CARD16; ERRFI1	FALSE	TRUE	FALSE
GO:0032731	BP	positive regulation of interleukin-1 beta production	-0.188642981137233	-0.800060676574663	0.812615955473098	0.0517405459873163	52	Female higher	FALSE	15	USP50; NLRP1; GSDMD; NOD2; WNT5A; CARD8; NLRP3; AGER; SMAD3; CCL3; JAK2; P2RX7; CASP8; NOD1; LGALS9	FALSE	TRUE	FALSE
GO:1900226	BP	negative regulation of NLRP3 inflammasome complex assembly	0.233472032344606	0.693579711698616	0.863265306122449	0.053347785067549	13	Male higher	FALSE	4	TREM2; HSPA8; ZDHHC12; ABHD17A	TRUE	FALSE	FALSE
GO:0140639	BP	positive regulation of pyroptotic inflammatory response	0.241052662613918	0.643261333449956	0.887525562372188	0.0521630305460055	9	Male higher	FALSE	1	CASP3	TRUE	FALSE	FALSE
GO:0070269	BP	pyroptotic inflammatory response	0.194187035906221	0.690790461222786	0.899590163934426	0.05163559644842	24	Male higher	FALSE	11	CASP3; DHX9; TREM2; PYCARD; CASP4; CASP6; APIP; CASP1; MAP3K20; GSDME; NLRC4	TRUE	FALSE	FALSE
