sample_id	count_column	annotated_sex	inferred_sex	discordant	xist_cpm	y_mean_cpm	log2_xist_cpm_plus_0_5	log2_y_mean_cpm_plus_0_5	sex_score_log2_y_minus_log2_xist	in_empirical_ambiguous_gap	age_dpc	trig_as_reported	author_exclude	author_notes	primary_include	sensitivity_include	ddx3y_cpm	pcdh11y_cpm
H-16680	X16680_placenta_S66	Female	Female	FALSE	1329.70748871809	11.3100051687815	10.3774355827174	3.56193769103427	-6.8154978916831	FALSE	80	1.545189185	n		TRUE	TRUE	0.909164402635166	21.7108459349278
H-16681	X16681_placenta_S68	Female	Female	FALSE	1271.46827819707	10.445776088494	10.3128469761504	3.45230234445666	-6.8605446316937	FALSE	80	1.57207195	n		TRUE	TRUE	1.90687993024858	18.9846722467395
H-16682	X16682_placenta_S64	Male	Female	TRUE	1611.3795813195	15.3935488668072	10.6545282531419	3.9903693945824	-6.6641588585595	FALSE	82	1.434805307	n	sry male, seq female	TRUE	FALSE	2.31221845781729	28.4748792757972
H-16730	X16730_placenta_S32	Male	Male	FALSE	93.1513479998106	85.0367662874047	6.549227855385	6.41847276212839	-0.130755093256606	FALSE	78	0.711121852	n		TRUE	TRUE	91.73382748677	78.3397050880395
H-16737	X16737_placenta_S26	Female	Female	FALSE	1403.46024837401	13.1048714238176	10.4552863725228	3.76605141699518	-6.68923495552763	FALSE	74	0.822884662	n		TRUE	TRUE	1.54875753190572	24.6609853157295
H-16849	X16849_placenta_S56	Male	Female	TRUE	1107.23071135152	12.5932284203168	10.1133914904029	3.71074896388283	-6.40264252652004	FALSE	78	1.215643643	n	sry male, seq female	TRUE	FALSE	2.14956878027952	23.0368880603541
H-17255	X17255_placenta_S24	Female	Female	FALSE	1551.37646725622	10.9015643645032	10.5997980050931	3.51115987945926	-7.08863812563379	FALSE	80	0.863343266	n		TRUE	TRUE	1.73706245368457	20.0660662753218
H-17257	X17257_placenta_S20	Female	Female	FALSE	1209.56405189133	12.7284865573891	10.2408676998481	3.72557611031758	-6.51529158953054	FALSE	79	1.311511436	n		TRUE	TRUE	8.69013138456285	16.7668417302154
H-17259	X17259_placenta_S22	Female	Female	FALSE	1681.09973758037	13.8583934038456	10.7156186339371	3.84382242636215	-6.87179620757498	FALSE	78	1.198544926	n		TRUE	TRUE	1.80118789147945	25.9155989162118
H-17392	X17392_placenta_S72	Female	Female	FALSE	1526.84039775147	17.0725667025039	10.5768059155063	4.13525302604738	-6.44155288945896	FALSE	74	1.420805836	n		TRUE	TRUE	1.62460150591439	32.5205318990933
H-17394	X17394_placenta_S70	Female	Female	FALSE	2339.81106315611	8.73250508554717	11.1924845834653	3.20672215211182	-7.98576243135351	FALSE	80	1.299002762	n		TRUE	TRUE	1.68282650086065	15.7821836702337
H-17410	X17410_placenta_S62	Male	Male	FALSE	64.2957285288248	73.3000234690258	6.01782680563002	6.20554936996222	0.1877225643322	FALSE	82	1.522658459	n		TRUE	TRUE	77.3139862736937	69.2860606643579
H-17417	X17417_placenta_S28	Male	Female	TRUE	1574.77413823109	12.5913360791058	10.6213872011801	3.7105404386438	-6.91084676253631	FALSE	74	0.872565133	n	sry male, seq female	TRUE	FALSE	1.59353438393285	23.5891377742787
H-17606	X17606_placenta_S60	Male	Female	TRUE	1283.26749963557	14.2477469218164	10.3261682273909	3.8824226593275	-6.44374556806336	FALSE	72	1.30505199	n	sry male, seq female	TRUE	FALSE	1.96608694082413	26.5294069028087
H-17612	X17612_placenta_S58	Female	Female	FALSE	1500.34521933722	15.6484563841008	10.5515594855989	4.01332436052258	-6.53823512507636	FALSE	82	1.237101679	n		TRUE	TRUE	1.58283236988605	29.7140803983154
H-18496	X18496_placenta_S18	Male	Male	FALSE	12.0358276269193	64.0494376672986	3.64798534226275	6.01233262220707	2.36434727994432	FALSE	80	0.422816776	n		TRUE	TRUE	79.6569660499162	48.4419092846809
H-19124	X19124_placenta_S48	Male	Male	FALSE	110.482998244899	72.46384884886	6.79419487331899	6.18910992867603	-0.605084944642957	FALSE	74	1.131604551	n	lot of brain samples high	TRUE	TRUE	100.920184111097	44.0075135866235
H-19125	X19125_placenta_S43	Male	Male	FALSE	179.315208378151	65.3037314192062	7.49037123578754	6.04009748959789	-1.45027374618965	FALSE	81	1.126452868	n		TRUE	TRUE	80.8522388999696	49.7552239384428
H-19283	X19283_placenta_S34	Male	Male	FALSE	59.3332270403559	85.283550391578	5.90287497017452	6.42262912205604	0.519754151881511	FALSE	80	0.757923695	n		TRUE	TRUE	84.4765845263191	86.090516256837
H-19600	X19600_placenta_S76	Male	Male	FALSE	11.0651627155691	59.9870133717789	3.53171365894129	5.91855352231127	2.38683986336998	FALSE	80	0.517715948	n		TRUE	TRUE	86.1976175542831	33.7764091892746
H-19760	X19760_placenta_S36	Female	Female	FALSE	1255.542908407	13.3190548982355	10.2946700344717	3.78858704634051	-6.50608298813122	FALSE	74	0.837385131	n	Something weird with placenta - outlier and was very small input maybe? Will double check. 	TRUE	TRUE	1.5309258503719	25.1071839460992
H-19764	X19764_placenta_S40	Female	Female	FALSE	1837.37727085916	13.9962868644157	10.8438247147087	3.85761150489953	-6.98621320980921	FALSE	76	0.938609377	n		TRUE	TRUE	1.15143127769416	26.8411424511372
H-19856	X19856_placenta_S6	Female	Female	FALSE	1011.79120544908	12.514303653976	9.98340865396653	3.70202621555511	-6.28138243841142	FALSE	78	1.178181835	n		TRUE	TRUE	0.89188801097379	24.1367192969782
H-19931	X19931_placenta_S78	Male	Male	FALSE	29.6628053687884	84.2638967028685	4.91469871127307	6.40537800662626	1.49067929535319	FALSE	78	0.712290587	n		TRUE	TRUE	89.6462605802697	78.8815328254674
H-20336	X20336_placenta_S4	Female	Female	FALSE	1547.77395482905	8.68569671284218	10.5964450522068	3.19938915041039	-7.39705590179638	FALSE	72	1.097917102	n		TRUE	TRUE	2.12125926320238	15.250134162482
H-20381	X20381_placenta_S52	Female	Female	FALSE	1451.04016466154	23.3504117870274	10.5033687770926	4.57594227004787	-5.92742650704475	FALSE	82	1.301955793	n		TRUE	TRUE	1.89407649476522	44.8067470792897
H-20385	X20385_placenta_S74	Male	Male	FALSE	209.765799059164	60.6454802494669	7.71607039628587	5.93417395647453	-1.78189643981134	FALSE	80	0.434741629	n		TRUE	TRUE	58.3933934497519	62.8975670491818
H-20442	X20442_placenta_S50	Male	Male	FALSE	27.8381443319915	91.4041061289277	4.82467338417061	6.5220574151558	1.69738403098519	FALSE	80	1.182016129	n		TRUE	TRUE	87.4988498624492	95.3093623954061
H-20748	X20748_placenta_S46	Female	Female	FALSE	1588.19139323016	19.2925479174001	10.6336231899044	4.3068854390155	-6.32673775088894	FALSE	82	1.125548926	n		TRUE	TRUE	1.41839293099889	37.1667029038013
H-20815	X20815_placenta_S10	Female	Female	FALSE	1611.81751606545	0.957762430772229	10.6549201685683	0.543755625101648	-10.1111645434666	FALSE	80	1.273642628	n		TRUE	TRUE	1.14228546789348	0.773239393650973
H-20818	X20818_placenta_S8	Female	Female	FALSE	1288.64116104628	27.8402013453836	10.3321945322182	4.82477810292998	-5.5074164292882	FALSE	80	1.125548926	n		TRUE	TRUE	1.15672224664484	54.5236804441224
H-20819	X20819_placenta_S12	Female	Female	FALSE	1754.72714866604	13.5348022597752	10.7774420303192	3.81093683235009	-6.96650519796915	FALSE	82	0.81727958	n		TRUE	TRUE	1.1421774058882	25.9274271136621
H-20820	X20820_placenta_S14	Male	Male	FALSE	14.5981787141122	96.4656205137671	3.91630262333887	6.59940142047554	2.68309879713668	FALSE	78	1.08139556	n		TRUE	TRUE	94.7544786864719	98.1767623410623
H-21027	X21027_placenta_S44	Male	Male	FALSE	19.8505643203668	101.71934301341	4.34699689581164	6.67552441373144	2.32852751791981	FALSE	76	1.237903491	n		TRUE	TRUE	87.4529831688525	115.985702857968
